sample_file_path|outputs/eval/vpu_03S/usgs/2012-10-01_2012-10-03.parquet
title|Observation data including the observed values for all locations and time steps.
location_id|Location identifier for the observed value.
reference_time|Reference time for the observation (same as value_time for observations).
value_time|Time of the observed value.
value|Observed value for a specific location and time.
variable_name|Name of the observed variable (e.g., streamflow).
measurement_unit|Measurement unit of the observed variable (e.g., cubic meters per second).
configuration|Configuration for the observation (e.g., usgs_gage_data).
