"gage_id","nws_id","agency","station_name","domain","domain_id","nwm_v3_calibration","headwater_calibration","latitude","longitude"
"01187300","WHTC3","USGS","HUBBARD RIVER NEAR WEST HARTLAND, CT","CONUS","3","true","true","42.0375","-72.93932778"
"CDR","","CADWR","","CONUS","3","false","true","39.1980895996094","-122.063095092773"
"01169000","SHVM3","USGS","NORTH RIVER AT SHATTUCKVILLE, MA","CONUS","3","true","true","42.63841775","-72.7250922"
"01170100","CRNM3","USGS","GREEN RIVER NEAR COLRAIN, MA","CONUS","3","true","true","42.70341695","-72.67064738"
"01193500","EHMC3","USGS","SALMON RIVER NEAR EAST HAMPTON, CT","CONUS","3","true","true","41.55232124","-72.44925287"
"01194000","","USGS","EIGHTMILE RIVER AT NORTH PLAIN, CT","CONUS","3","true","true","41.44166944","-72.33267778"
"01194500","","USGS","EAST BRANCH EIGHTMILE RIVER NEAR NORTH LYME, CT","CONUS","3","true","true","41.42751667","-72.33477778"
"01197500","GTBM3","USGS","HOUSATONIC RIVER NEAR GREAT BARRINGTON, MA","CONUS","3","true","true","42.23191667","-73.3546667"
"01198000","GBGM3","USGS","GREEN RIVER NEAR GREAT BARRINGTON, MA","CONUS","3","true","true","42.1929083","-73.3912306"
"01201487","BKFC3","USGS","STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT","CONUS","3","true","true","41.4658222","-73.40320278"
"012035055","","USGS","POOTATUCK RIVER AT BERKSHIRE","CONUS","3","true","true","41.4065472","-73.2731833"
"01203805","HKVC3","USGS","WEEKEEPEEMEE RIVER AT HOTCHKISSVILLE, CT","CONUS","3","true","true","41.5577083","-73.21535278"
"01208990","","USGS","SAUGATUCK RIVER NEAR REDDING, CT","CONUS","3","true","true","41.29454","-73.39512029"
"RCS","","CADWR","","CONUS","3","false","true","38.7986679077148","-121.72566986084"
"01330000","GLWN6","USGS","GLOWEGEE CREEK AT WEST MILTON NY","CONUS","3","true","true","43.03080556","-73.9275833"
"01333000","GRWM3","USGS","GREEN RIVER AT WILLIAMSTOWN, MA","CONUS","3","true","true","42.70886815","-73.1967511"
"01343060","WMRN6","USGS","WEST CANADA CREEK NEAR WILMURT NY","CONUS","3","true","true","43.3661111","-74.95777778"
"02DC012","","ENVCA","","CONUS","3","false","true","46.97139","-80.46333"
"01321000","HOPN6","USGS","SACANDAGA RIVER NEAR HOPE NY","CONUS","3","true","true","43.3534722","-74.2684722"
"01350000","PTVN6","USGS","SCHOHARIE CREEK AT PRATTSVILLE NY","CONUS","3","true","true","42.31944444","-74.4366667"
"01350035","BEAN6","USGS","BEAR KILL NEAR PRATTSVILLE NY","CONUS","3","true","true","42.33805556","-74.4516667"
"01350080","MNRN6","USGS","MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY","CONUS","3","true","true","42.37694444","-74.4130556"
"01350140","MKLN6","USGS","MINE KILL NEAR NORTH BLENHEIM NY","CONUS","3","true","true","42.42888889","-74.4730556"
"01362200","ALAN6","USGS","ESOPUS CREEK AT ALLABEN NY","CONUS","3","true","true","42.11694444","-74.38027778"
"0136230002","WDLN6","USGS","WOODLAND CREEK ABOVE MOUTH AT PHOENICIA NY","CONUS","3","true","true","42.0797222","-74.3345833"
"01372500","WAPN6","USGS","WAPPINGER CREEK NEAR WAPPINGERS FALLS NY","CONUS","3","true","true","41.65305556","-73.8725"
"0137449480","PUTN6","USGS","EAST BRANCH CROTON RIVER NEAR PUTNAM LAKE NY","CONUS","3","true","true","41.44725","-73.5560833"
"01374559","RVLN6","USGS","WEST BRANCH CROTON RIVER AT RICHARDSVILLE NY","CONUS","3","true","true","41.4704722","-73.7595833"
"01374781","SLCN6","USGS","TITICUS RIVER BELOW JUNE ROAD AT SALEM CENTER NY","CONUS","3","true","true","41.3273611","-73.5914722"
"01374890","XRVN6","USGS","CROSS RIVER NEAR CROSS RIVER NY","CONUS","3","true","true","41.2602222","-73.6018611"
"01362497","BCFN6","USGS","LITTLE BEAVER KILL AT BEECHFORD NEAR MT TREMPER NY","CONUS","3","true","true","42.01944444","-74.26638889"
"01363382","BKWN6","USGS","BUSH KILL BLW MALTBY HOLLOW BK AT WEST SHOKAN NY","CONUS","3","true","true","41.96555556","-74.2930556"
"01365000","LWSN6","USGS","RONDOUT CREEK NEAR LOWES CORNERS NY","CONUS","3","true","true","41.86638889","-74.4872222"
"01379000","MILN4","USGS","Passaic River near Millington NJ","CONUS","3","true","true","40.68","-74.52888889"
"01381400","WHPN4","USGS","Whippany River near Morristown NJ","CONUS","3","true","true","40.8122222","-74.5119444"
"01384500","RWCN4","USGS","Ringwood Creek near Wanaque NJ","CONUS","3","true","true","41.1272222","-74.2658333"
"01390450","SADN4","USGS","Saddle River at Upper Saddle River NJ","CONUS","3","true","true","41.0586111","-74.0955556"
"01387450","SUFN6","USGS","Mahwah River near Suffern NY","CONUS","3","true","true","41.1411111","-74.1161111"
"01387500","MAWN4","USGS","Ramapo River near Mahwah NJ","CONUS","3","true","true","41.09805556","-74.16277778"
"01400000","RRTN4","USGS","North Branch Raritan River near Raritan NJ","CONUS","3","true","true","40.57055556","-74.6791667"
"01397000","STTN4","USGS","South Branch Raritan River at Stanton NJ","CONUS","3","true","true","40.5722222","-74.8680556"
"01409810","JENN4","USGS","West Branch Wading River near Jenkins NJ","CONUS","3","true","true","39.68805556","-74.5480556"
"01403900","MDSN4","USGS","Bound Brook at Middlesex NJ","CONUS","3","true","true","40.585","-74.50777778"
"01413408","DRYN6","USGS","DRY BROOK AT ARKVILLE","CONUS","3","true","true","42.14666667","-74.6233333"
"01414000","PLTN6","USGS","PLATTE KILL AT DUNRAVEN NY","CONUS","3","true","true","42.13305556","-74.6955556"
"01414500","DUNN6","USGS","MILL BROOK NEAR DUNRAVEN NY","CONUS","3","true","true","42.1061111","-74.7305556"
"01415000","TPKN6","USGS","TREMPER KILL NEAR ANDES NY","CONUS","3","true","true","42.12","-74.8186111"
"01421618","HTBN6","USGS","TOWN BROOK SOUTHEAST OF HOBART NY","CONUS","3","true","true","42.3611111","-74.6622222"
"01421900","DELN6","USGS","WEST BRANCH DELAWARE RIVER UPSTREAM FROM DELHI NY","CONUS","3","true","true","42.28027778","-74.9072222"
"01422500","LDWN6","USGS","LITTLE DELAWARE RIVER NEAR DELHI NY","CONUS","3","true","true","42.25238889","-74.9010556"
"01423000","WALN6","USGS","WEST BRANCH DELAWARE RIVER AT WALTON NY","CONUS","3","true","true","42.1661111","-75.14002778"
"0142400103","TRCN6","USGS","TROUT CREEK NEAR TROUT CREEK NY","CONUS","3","true","true","42.1735833","-75.2794444"
"02CF011","","ENVCA","","CONUS","3","false","true","46.68544","-81.00925"
"01411300","TUKN4","USGS","Tuckahoe River at Head of River NJ","CONUS","3","true","true","39.30694444","-74.8205556"
"01434017","EBNN6","USGS","EAST BRANCH NEVERSINK RIVER NEAR CLARYVILLE NY","CONUS","3","true","true","41.92527778","-74.54027778"
"02AD010","","ENVCA","","CONUS","3","false","true","49.60278","-87.96389"
"01439500","SHOP1","USGS","Bush Kill at Shoemakers, PA","CONUS","3","true","true","41.08815078","-75.03767469"
"01440400","ALKP1","USGS","Brodhead Creek near Analomink, PA","CONUS","3","true","true","41.0848148","-75.2146251"
"01447720","TBYP1","USGS","Tobyhanna Creek near Blakeslee, PA","CONUS","3","true","true","41.08472426","-75.6054522"
"01451800","SNVP1","USGS","Jordan Creek near Schnecksville, PA","CONUS","3","true","true","40.66176219","-75.626854"
"01464000","TACN4","USGS","Assunpink Creek at Trenton NJ","CONUS","3","true","true","40.22416667","-74.7491667"
"01465500","LNGP1","USGS","Neshaminy Creek near Langhorne, PA","CONUS","3","true","true","40.1739982","-74.9568342"
"01471875","SPGP1","USGS","Manatawny Creek near Spangsville, PA","CONUS","3","true","true","40.339538","-75.7421359"
"01473000","GRAP1","USGS","Perkiomen Creek at Graterford, PA","CONUS","3","true","true","40.22954725","-75.451567"
"01470500","BREP1","USGS","Schuylkill River at Berne, PA","CONUS","3","true","true","40.5225932","-75.99826819"
"01478245","SKVP1","USGS","White Clay Creek near Strickersville, PA","CONUS","3","true","true","39.7475","-75.7708333"
"01481000","CDFP1","USGS","Brandywine Creek at Chadds Ford, PA","CONUS","3","true","true","39.8698328","-75.5932623"
"01487000","BGLD1","USGS","NANTICOKE RIVER NEAR BRIDGEVILLE, DE","CONUS","3","true","true","38.7283333","-75.5618611"
"01490000","CMCM2","USGS","CHICAMACOMICO RIVER NEAR SALEM, MD","CONUS","3","true","true","38.51166667","-75.8799167"
"01491000","GNBM2","USGS","CHOPTANK RIVER NEAR GREENSBORO, MD","CONUS","3","true","true","38.99719444","-75.7858056"
"01492500","","USGS","SALLIE HARRIS CREEK NEAR CARMICHAEL, MD","CONUS","3","true","true","38.96488889","-76.1088333"
"01493500","KENM2","USGS","MORGAN CREEK NEAR KENNEDYVILLE, MD","CONUS","3","true","true","39.28002778","-76.0145556"
"01502500","RCKN6","USGS","UNADILLA RIVER AT ROCKDALE NY","CONUS","3","true","true","42.37777778","-75.4061111"
"01485500","NSWM2","USGS","NASSAWANGO CREEK NEAR SNOW HILL, MD","CONUS","3","true","true","38.22891667","-75.4714444"
"01516500","MBGP1","USGS","Corey Creek near Mainesburg, PA","CONUS","3","true","true","41.79090746","-77.0146877"
"01518862","WFDP1","USGS","Cowanesque River at Westfield, PA","CONUS","3","true","true","41.92312576","-77.5319298"
"01525981","ADNN6","USGS","TUSCARORA CREEK ABOVE SOUTH ADDISON NY","CONUS","3","true","true","42.0722222","-77.29888889"
"01527500","AVCN6","USGS","COHOCTON RIVER AT AVOCA NY","CONUS","3","true","true","42.41105556","-77.4263611"
"01532000","MONP1","USGS","Towanda Creek near Monroeton, PA","CONUS","3","true","true","41.70757505","-76.4849432"
"01505000","SHBN6","USGS","CHENANGO RIVER AT SHERBURNE NY","CONUS","3","true","true","42.6786111","-75.5105556"
"01509000","CRTN6","USGS","TIOUGHNIOGA RIVER AT CORTLAND NY","CONUS","3","false","true","42.60266667","-76.15938889"
"01539000","FCKP1","USGS","Fishing Creek near Bloomsburg, PA","CONUS","3","true","true","41.07814118","-76.4313333"
"01543000","SRRP1","USGS","Driftwood Br Sinnemahoning Cr at Sterling Run, PA","CONUS","3","true","true","41.4133959","-78.1969524"
"01544500","CRFP1","USGS","Kettle Creek at Cross Fork, PA","CONUS","3","true","true","41.47583829","-77.82580078"
"01545600","RNOP1","USGS","Young Womans Creek near Renovo, PA","CONUS","3","true","true","41.38951168","-77.6908191"
"01547700","BNDP1","USGS","Marsh Creek at Blanchard, PA","CONUS","3","true","true","41.05950916","-77.6058264"
"02EA018","","ENVCA","","CONUS","3","false","true","45.55472","-79.28778"
"01534000","TNKP1","USGS","Tunkhannock Creek near Tunkhannock, PA","CONUS","3","true","true","41.55841008","-75.89464168"
"01552500","SONP1","USGS","Muncy Creek near Sonestown, PA","CONUS","3","true","true","41.35702418","-76.5346708"
"01555000","PNCP1","USGS","Penns Creek at Penns Creek, PA","CONUS","3","true","true","40.86674917","-77.0483088"
"01556000","WIBP1","USGS","Frankstown Br Juniata River at Williamsburg, PA","CONUS","3","true","true","40.4631283","-78.199732"
"01557500","BLDP1","USGS","Bald Eagle Creek at Tyrone, PA","CONUS","3","true","true","40.6836733","-78.23362439"
"01558000","SPKP1","USGS","Little Juniata River at Spruce Creek, PA","CONUS","3","true","true","40.61256655","-78.1405645"
"01564500","AUGP1","USGS","Aughwick Creek near Three Springs, PA","CONUS","3","true","true","40.21258144","-77.9252764"
"01567500","LYVP1","USGS","Bixler Run near Loysville, PA","CONUS","3","true","true","40.37091615","-77.402209"
"01548500","CEDP1","USGS","Pine Creek at Cedar Run, PA","CONUS","3","true","true","41.52167017","-77.4474547"
"01549500","ENGP1","USGS","Blockhouse Creek near English Center, PA","CONUS","3","true","true","41.47368336","-77.230809"
"01550000","TRLP1","USGS","Lycoming Creek near Trout Run, PA","CONUS","3","true","true","41.41813179","-77.0330238"
"01552000","LOYP1","USGS","Loyalsock Creek at Loyalsockville, PA","CONUS","3","true","true","41.32507836","-76.91246379"
"01580000","RSPM2","USGS","DEER CREEK AT ROCKS, MD","CONUS","3","true","true","39.6299722","-76.4033056"
"01581810","GFHM2","USGS","GUNPOWDER FALLS AT HOFFMANVILLE, MD","CONUS","3","true","true","39.68980556","-76.7814722"
"01586610","MRLM2","USGS","MORGAN RUN NEAR LOUISVILLE, MD","CONUS","3","true","true","39.45188889","-76.9553056"
"01581870","BCKM2","USGS","GEORGES RUN NEAR BECKLEYSVILLE, MD","CONUS","3","true","true","39.62569444","-76.7726111"
"01583500","WRWM2","USGS","WESTERN RUN AT WESTERN RUN, MD","CONUS","3","true","true","39.51077778","-76.6765"
"01591400","GLNM2","USGS","CATTAIL CREEK NEAR GLENWOOD, MD","CONUS","3","true","true","39.2559722","-77.0510556"
"01594526","UPRM2","USGS","WESTERN BRANCH AT UPPER MARLBORO, MD","CONUS","3","true","true","38.8142222","-76.7487222"
"02EB014","","ENVCA","","CONUS","3","false","true","45.31194","-78.98944"
"01601000","HYDP1","USGS","Wills Creek below Hyndman, PA","CONUS","3","true","true","39.81202897","-78.7164072"
